zip_code,transactions_count,customers_count,avg_transactions,avg_sales_amount,public_transportation_pct
01105,24,16,1,5938.324458333333,7.1
01129,9,6,1,13246.658333333335,0.0
01605,13,10,1,5503.45276923077,5.4
01610,11,11,1,10900.900363636365,5.9
01905,13,10,1,481.52876923076917,12.4
02109,12,8,1,10067.491000000002,18.3
02114,12,10,1,24460.826166666662,22.0
02119,12,10,1,6159.991500000001,41.6
02124,15,9,1,6933.991866666668,36.7
02142,23,17,1,513.4686956521739,24.4
02163,32,17,1,13986.866999999997,33.7
02453,11,10,1,3675.4457272727263,7.9
02458,19,14,1,12034.728684210524,9.9
02472,14,12,1,518.5621428571428,16.4
02745,17,12,1,7268.814705882353,1.2
02905,11,9,1,10914.537,8.8
02912,18,12,1,4113.324444444444,1.4
04109,19,12,1,5580.254684210527,24.3
06105,10,7,1,524.9907,13.5
06120,15,11,1,7360.6577333333325,25.9
06510,14,10,1,537.1333571428571,8.8
06606,23,13,1,7813.4698260869545,8.6
06705,21,16,1,519.0377142857142,3.9
06825,11,9,1,6431.35490909091,9.1
06854,25,18,1,3909.191,16.6
06905,8,7,1,543.7407499999999,8.4
07104,18,14,1,5237.213277777779,28.4
07112,20,13,1,525.9902499999998,27.8
07208,17,13,1,7253.520764705882,13.8
07305,25,15,1,1917.5907999999993,37.5
07310,15,12,1,522.6568666666666,75.7
07505,29,19,1,2629.818586206898,28.7
07522,19,12,1,7396.307315789472,13.6
08104,17,12,1,514.6962941176471,17.4
08608,10,7,1,498.4906,14.9
08619,13,10,1,14170.761076923074,4.5
08638,15,11,1,6192.657933333333,6.6
10004,41,25,1,10613.406292682923,59.3
10009,27,16,1,10987.398888888885,59.5
10014,32,17,1,2176.55321875,52.7
10019,14,9,1,5171.419571428573,43.2
10024,29,18,1,6031.3703448275855,70.7
10029,15,8,1,20335.325666666668,69.9
10034,24,16,1,3704.365750000002,68.3
10039,14,9,1,5974.634071428572,76.6
10280,31,21,1,6634.829967741933,49.8
10305,20,13,1,3433.240550000001,35.2
10310,20,15,1,14784.491799999998,27.7
10454,26,15,1,10594.992038461534,73.0
10459,29,18,1,6803.440068965519,67.9
10464,18,11,1,524.4347222222221,21.5
10469,19,10,1,6573.674842105264,46.4
10474,18,11,1,4144.990944444447,57.4
10606,12,10,1,9117.491000000004,19.4
10705,12,10,1,5916.65825,36.2
11024,21,14,1,1806.8956666666663,20.6
11205,24,17,1,8209.99175,61.2
11210,14,11,1,534.275857142857,56.1
11215,42,20,2,3885.8242380952393,67.8
11220,20,13,1,2229.491149999999,61.8
11225,23,14,1,8706.513347826089,71.9
11231,22,15,1,5275.218636363638,63.5
11236,15,11,1,9673.325399999998,54.3
11355,11,7,1,532.7173636363635,43.3
11436,18,14,1,7731.102666666667,43.0
12205,19,9,2,6523.148842105264,3.1
12210,13,9,1,3181.529769230768,18.6
12222,22,14,1,514.5364090909092,16.8
12305,20,13,1,3482.4908500000006,8.7
13205,31,22,1,6585.797580645159,14.6
13210,22,17,1,3467.2637727272736,11.5
13224,14,9,1,4679.991071428571,3.9
14210,19,19,1,3266.306631578947,5.6
14215,11,6,1,16028.17372727273,16.6
14220,10,8,1,573.9902,4.6
14225,17,11,1,21155.287352941174,1.6
14604,12,10,1,537.49025,6.4
14609,22,16,1,9305.901136363635,5.7
14614,7,6,1,474.27599999999995,0.0
14619,9,7,1,13196.659111111112,9.1
14624,17,12,1,4337.049529411765,0.2
14905,20,15,1,7620.991399999999,1.3
15205,18,12,1,517.2125,11.8
15210,25,21,1,9871.591239999994,20.8
15215,12,9,1,11956.658833333333,4.7
15220,18,11,1,16846.102833333327,11.8
15225,17,14,1,5022.638235294119,1.6
15235,15,12,1,9961.325266666665,7.2
15906,15,13,1,13440.658866666667,4.7
16505,13,11,1,23121.53123076923,1.2
16510,10,9,1,9969.9912,1.5
17110,16,13,1,5823.428875,3.7
18018,13,11,1,5776.145153846155,2.8
18505,16,10,1,9832.179312499999,0.9
18706,12,10,1,573.3236666666666,1.1
19104,15,12,1,14416.6586,30.5
19115,20,15,1,3436.9909,12.9
19120,19,14,1,5926.833052631579,25.0
19125,25,14,1,12227.992079999998,25.0
19131,26,15,1,3079.2215,33.2
19136,19,14,1,2311.043684210526,15.5
19141,19,14,1,3646.8332105263153,36.0
19146,19,13,1,8398.412473684213,26.3
19151,18,9,2,4143.879722222225,38.9
19605,15,12,1,9357.99213333333,0.3
19610,7,7,1,9781.420571428574,0.4
19805,7,6,1,472.84742857142857,6.5
19810,13,9,1,14178.069384615383,3.5
20005,23,16,1,9215.426173913042,23.6
20010,26,16,1,4918.260307692308,48.6
20016,28,21,1,477.84742857142845,26.3
20036,16,11,1,4586.865750000003,33.1
20057,19,12,1,5401.04405263158,3.7
20319,19,13,1,15844.728999999998,5.7
20784,14,10,1,11682.849142857143,17.2
20816,27,18,1,522.5832592592592,10.6
20851,21,14,1,7680.467428571426,18.7
20904,21,14,1,3307.6099999999997,14.4
20910,23,15,1,5501.2951304347835,33.8
21211,18,11,1,4323.879833333333,8.4
21216,12,10,1,5939.158,25.9
21229,13,7,1,3201.5298461538455,16.3
21239,7,7,1,457.1334285714286,19.1
21405,14,11,1,466.4189999999999,8.7
22205,25,18,1,1915.9906799999992,18.4
22301,22,16,1,12048.173909090909,24.5
22309,13,8,1,5047.683384615384,12.0
22405,12,10,1,2779.157916666667,7.2
22903,25,16,1,4519.591120000003,7.3
23220,19,13,1,9504.201684210522,5.6
23225,18,11,1,13297.76911111111,2.0
23228,15,11,1,15780.658399999997,0.6
23237,13,10,1,5823.068923076924,0.2
23324,29,19,1,5656.887758620689,1.8
23436,25,17,1,5126.790840000002,0.0
23454,22,13,1,16322.719499999996,1.0
23459,13,9,1,12083.06869230769,0.0
